AlertID,AlertType,Severity,Domain,Entity,Message,RecommendedAction,PriorityScore,RiskLevel,FinancialImpact,TimeSensitivity,DecisionID
AL-00001,Revenue Opportunity,High,Customer,Champions,Upsell Premium Products recommended for Champions with priority 75.5.,"Offer premium assortment, bundles, and loyalty-tier incentives.",75.46,Low,57612.12,This Week,DI-00001
AL-00002,Revenue Opportunity,Medium,Customer,Champions,Upsell Premium Products recommended for Champions with priority 61.7.,"Offer premium assortment, bundles, and loyalty-tier incentives.",61.73,Low,40985.42,This Month,DI-00002
AL-00003,Customer Leaving,Medium,Churn,13902,Retain High Value Customer recommended for 13902 with priority 56.1.,Send Email Campaign,56.09,Low,15450.02,This Month,DI-00003
AL-00004,Revenue Opportunity,Medium,Customer,Champions,Upsell Premium Products recommended for Champions with priority 54.7.,"Offer premium assortment, bundles, and loyalty-tier incentives.",54.67,Low,32430.71,This Month,DI-00004
AL-00005,Customer Leaving,Medium,Churn,12482,Retain High Value Customer recommended for 12482 with priority 48.8.,Send Email Campaign,48.77,Low,10467.61,Monitor,DI-00005
AL-00006,Revenue Opportunity,Medium,Customer,Champions,Upsell Premium Products recommended for Champions with priority 48.6.,"Offer premium assortment, bundles, and loyalty-tier incentives.",48.63,Low,25100.0,Monitor,DI-00006
AL-00007,Revenue Opportunity,Medium,Customer,Champions,Upsell Premium Products recommended for Champions with priority 45.8.,"Offer premium assortment, bundles, and loyalty-tier incentives.",45.81,Low,21688.13,Monitor,DI-00007
AL-00010,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Supplier Review,44.31,Medium,470.51,Monitor,DI-00010
AL-00011,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Reorder Today,44.31,Medium,470.51,Monitor,DI-00011
AL-00012,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Demand Buffer Optimization,44.31,Medium,470.51,Monitor,DI-00012
AL-00013,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Reorder Today,44.3,Medium,443.18,Monitor,DI-00013
AL-00014,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Supplier Review,44.3,Medium,443.18,Monitor,DI-00014
AL-00015,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Demand Buffer Optimization,44.3,Medium,443.18,Monitor,DI-00015
AL-00016,Supplier Delay,Medium,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Supplier Escalation recommended for PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other with priority 44.3.,Supplier Review,44.29,Medium,429.23,Monitor,DI-00016
