DecisionID,PriorityBand,PriorityScore,DecisionType,Domain,Entity,BusinessImpact,FinancialImpact,ExpectedROI,RiskLevel,Confidence,TimeSensitivity,SuggestedAction,Reasoning
DI-00001,P1,75.46,Upsell Premium Products,Customer,Champions,High,57612.12,1043.33,Low,100.0,This Week,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00002,P2,61.73,Upsell Premium Products,Customer,Champions,High,40985.42,1013.37,Low,100.0,This Month,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00003,P2,56.09,Retain High Value Customer,Churn,13902,Medium,15450.02,579.2,Low,100.0,This Month,Send Email Campaign,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00004,P2,54.67,Upsell Premium Products,Customer,Champions,High,32430.71,987.34,Low,100.0,This Month,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00005,P3,48.77,Retain High Value Customer,Churn,12482,Medium,10467.61,511.93,Low,100.0,Monitor,Send Email Campaign,Customer has elevated churn probability and meaningful lifetime value at risk.
DI-00006,P3,48.63,Upsell Premium Products,Customer,Champions,High,25100.0,952.85,Low,100.0,Monitor,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00007,P3,45.81,Upsell Premium Products,Customer,Champions,Medium,21688.13,930.17,Low,100.0,Monitor,"Offer premium assortment, bundles, and loyalty-tier incentives.",Customer intelligence identifies high predicted CLV and premium monetization potential.
DI-00008,P3,44.75,Reduce Overstock,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Medium,9982.98,565.75,Low,85.52,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00009,P3,44.53,Supplier Escalation,Inventory,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,Medium,9628.61,454.65,Low,85.49,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00010,P3,44.31,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,470.51,-54.82,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00011,P3,44.31,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,470.51,-54.82,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00012,P3,44.31,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,470.51,-54.82,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00013,P3,44.3,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,443.18,-57.34,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00014,P3,44.3,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,443.18,-57.34,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00015,P3,44.3,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,443.18,-57.34,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00016,P3,44.29,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,429.23,-58.63,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
DI-00017,P3,44.29,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,429.23,-58.63,Medium,84.13,Monitor,Reorder Today,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.
DI-00018,P3,44.29,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,429.23,-58.63,Medium,84.13,Monitor,Demand Buffer Optimization,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane."
DI-00019,P3,44.28,Supplier Escalation,Inventory,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,Targeted,420.66,-59.43,Medium,84.13,Monitor,Supplier Review,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.
