CustomerID,ChurnProbability,RetentionProbability,CustomerHealthScore,ExpectedLifetimeValue,RiskCategory,RecommendedAction,ActionReasoning,CustomerSegment,HealthBand
18102,0.010538355810914113,0.9894616441890859,99.07,695931.18,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
14646,0.028298355810914,0.971701644189086,95.98,473029.63,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
14156,0.0216263558109141,0.9783736441890859,97.09,368331.34,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
14911,0.009702355810914165,0.9902976441890858,99.16,282042.74,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13694,0.025890355810914034,0.974109644189086,96.35,239446.93,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17511,0.019418355810914,0.980581644189086,97.88,151435.28,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
15061,0.01598635581091412,0.9840136441890859,98.18,149795.3,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
16684,0.04061835581091411,0.9593816441890859,94.13,142076.73,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
16754,0.029778355810914037,0.970221644189086,96.37,111668.73,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17949,0.022350355810913936,0.9776496441890861,97.01,106709.09,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13089,0.017866355810914114,0.9821336441890859,97.76,102924.97,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
15311,0.010170355810914078,0.9898296441890859,99.12,99808.4,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17450,0.05274235581091402,0.947257644189086,94.1,79860.87,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17850,0.02392635581091407,0.9760736441890859,96.8,90482.61,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
12931,0.0409423558109141,0.9590576441890859,93.87,88012.7,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13093,0.02776235581091413,0.9722376441890859,96.28,82843.47,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
16029,0.025722355810914088,0.9742776441890859,96.62,72201.09,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
15838,0.031138355810913954,0.968861644189086,97.16,70433.39,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
14298,0.03285835581091423,0.9671416441890858,95.41,69120.46,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13798,0.025010355810914153,0.9749896441890858,96.63,67787.33,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13902,0.7300907685518072,0.2699092314481928,36.56,39959.9,High,Send Email Campaign,Lifecycle messaging is the lowest-friction retention tactic for customers in the medium-risk band.,At Risk,High Risk
15769,0.032510355810914104,0.9674896441890859,96.51,56320.29,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13081,0.030950355810913988,0.969049644189086,96.37,53583.8,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13777,0.016726355810914084,0.9832736441890859,98.39,53577.56,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17841,0.010794355810914036,0.989205644189086,99.07,52134.45,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
16705,0.07076635581091406,0.9292336441890859,88.84,50019.06,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
16422,0.021382355810914078,0.9786176441890859,97.27,49893.47,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
14680,0.02405035581091408,0.9759496441890859,96.88,49994.94,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13881,0.03599035581091403,0.964009644189086,95.06,46886.08,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17940,0.15999435581091415,0.8400056441890859,77.97,41880.49,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Loyal,Healthy
17389,0.03398635581091414,0.9660136441890859,95.48,44038.58,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
12482,0.6661427685518072,0.3338572314481928,44.14,29094.48,High,Send Email Campaign,Lifecycle messaging is the lowest-friction retention tactic for customers in the medium-risk band.,At Risk,Moderate
14031,0.01537035581091406,0.9846296441890859,98.74,41352.87,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13408,0.023850355810913992,0.976149644189086,96.9,41203.9,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
14063,0.12556635581091413,0.8744336441890859,81.28,36862.46,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
16779,0.01733835581091403,0.982661644189086,98.26,39428.64,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
12748,0.010478355810914053,0.989521644189086,99.09,39472.87,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
18251,0.13527035581091407,0.8647296441890859,80.19,35147.39,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
13802,0.04041035581091412,0.9595896441890859,94.85,36240.65,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
12709,0.022158355810914077,0.9778416441890859,97.87,36643.25,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17677,0.01810635581091402,0.981893644189086,98.17,35313.27,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17920,0.020954355810913983,0.979045644189086,97.5,35106.48,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
12471,0.030258355810914073,0.9697416441890859,95.76,34931.32,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
16013,0.02579435581091416,0.9742056441890858,96.85,34767.07,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
15039,0.0201823558109141,0.9798176441890859,97.53,34758.18,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
17381,0.03651435581091411,0.9634856441890859,96.14,31486.44,Low,Upsell,"The customer is healthy and high-intent, so a targeted upsell can grow wallet share.",Champions,VIP
